Transaction_ID,Date_Time,Channel,Store_ID,SKU,Quantity,Total_Amount,Customer_ID
TXN-999450,2024-07-12 14:00:00,Store,MAD-001,SKU-8930,2,104.4,003dfPaqCc4j39HVwP
TXN-319391,2024-01-21T00:00:00Z,Web,WEB-000,SKU-5738,2,189.15,003UY6J2n6ZLR5DsOl
TXN-492400,2024-07-06 15:00:00,Store,COR-003,SKU-9214,4,142.98,
TXN-741464,2025-03-03T00:00:00Z,Web,WEB-000,SKU-1392,5,20.15,003GjQA2Wpa4UCKRzp
TXN-190240,2024-03-31T00:00:00Z,Web,WEB-000,SKU-7409,-5,-94.14,003Ssgh0wZydZq3CyI
TXN-765059,2025-06-19 20:00:00,Store,COR-003,SKU-8859,2,110.64,003MLn0NT3aamc8PNm
TXN-967176,2025-04-09 20:00:00,Store,MAD-001,SKU-4034,5,77.23,003BqbOqgfYXH3BDTA
TXN-705398,2025-03-30T00:00:00Z,Web,WEB-000,SKU-1143,4,149.93,0033Islk5DOuGaE0IW
TXN-917447,2024-07-28 19:00:00,Store,MAD-001,SKU-1910,5,192.76,003gIdKOi5gSUUiUpl
TXN-945867,2025-08-30T00:00:00Z,Web,WEB-000,SKU-8987,2,95.41,003aXrTMfWPhHJU38x
TXN-725033,2024-08-06 20:00:00,Store,BCN-002,SKU-9679,3,106.01,
TXN-757322,2025-05-11 12:00:00,Store,COR-003,SKU-1424,3,195.96,
TXN-530219,2025-01-22 13:00:00,Store,BCN-002,SKU-5775,2,23.4,003sqNya7ekijAKHer
TXN-585698,2024-07-22T00:00:00Z,Web,WEB-000,SKU-3134,5,39.3,
TXN-170932,2024-07-14 15:00:00,Store,MAD-001,SKU-6142,4,104.55,003tL2MVIfnKwvCs5T
TXN-111239,2025-01-03 10:00:00,Store,COR-003,SKU-1853,2,22.37,003n3aWY7HaNWelKCP
TXN-764526,2025-10-24 19:00:00,Store,BCN-002,SKU-8744,5,101.26,003NIgFASpNy5PnvcN
TXN-794070,2024-03-06 14:00:00,Store,BCN-002,SKU-5401,1,196.22,0038uHrUz8eA9owAEN
TXN-323704,2024-10-22 15:00:00,Store,MAD-001,SKU-9581,4,175.68,0031RQPJfe967DPaWQ
TXN-425267,2025-02-08 11:00:00,Store,COR-003,SKU-2919,4,187.5,003dfPaqCc4j39HVwP
TXN-399513,2024-04-27T00:00:00Z,Web,WEB-000,SKU-4189,1,40.6,003xvptlpf78vC1RTy
TXN-944275,2024-12-30T00:00:00Z,Web,WEB-000,SKU-5157,4,42.74,003Eyk32k1CUAGTlvO
TXN-657801,2024-08-05 15:00:00,Store,COR-003,SKU-8274,3,174.33,
TXN-285837,2025-01-13T00:00:00Z,Web,WEB-000,SKU-5151,5,104.25,003x1BuaGaqDQ1cJSN
TXN-927545,2025-05-02T00:00:00Z,Web,WEB-000,SKU-3983,4,15.82,0032tF32ZqboBR5zNB
TXN-102677,2024-12-22 15:00:00,Store,MAD-001,SKU-2566,2,158.07,003wgxxRrZ8cjaHwV3
